acad_term_cd,acad_term
3902,Spring 1990
3905,Summer 1990
3908,Fall 1990
3912,Spring 1991
3915,Summer 1991
3918,Fall 1991
3922,Spring 1992
3925,Summer 1992
3928,Fall 1992
3932,Spring 1993
3935,Summer 1993
3938,Fall 1993
3942,Spring 1994
3945,Summer 1994
3948,Fall 1994
3952,Spring 1995
3955,Summer 1995
3958,Fall 1995
3962,Spring 1996
3965,Summer 1996
3968,Fall 1996
3972,Spring 1997
3975,Summer 1997
3978,Fall 1997
3982,Spring 1998
3985,Summer 1998
3988,Fall 1998
3992,Spring 1999
3995,Summer 1999
3998,Fall 1999
4002,Spring 2000
4005,Summer 2000
4008,Fall 2000
4012,Spring 2001
4015,Summer 2001
4018,Fall 2001
4022,Spring 2002
4025,Summer 2002
4028,Fall 2002
4032,Spring 2003
4035,Summer 2003
4038,Fall 2003
4042,Spring 2004
4045,Summer 2004
4048,Fall 2004
4052,Spring 2005
4055,Summer 2005
4058,Fall 2005
4062,Spring 2006
4065,Summer 2006
4068,Fall 2006
4072,Spring 2007
4075,Summer 2007
4078,Fall 2007
4082,Spring 2008
4085,Summer 2008
4088,Fall 2008
4092,Spring 2009
4095,Summer 2009
4098,Fall 2009
4102,Spring 2010
4105,Summer 2010
4108,Fall 2010
4112,Spring 2011
4115,Summer 2011
4118,Fall 2011
4122,Spring 2012
4125,Summer 2012
4128,Fall 2012
4132,Spring 2013
4135,Summer 2013
4138,Fall 2013
4142,Spring 2014
4145,Summer 2014
4148,Fall 2014
4152,Spring 2015
4155,Summer 2015
4158,Fall 2015
4162,Spring 2016
4165,Summer 2016
4168,Fall 2016
4172,Spring 2017
4175,Summer 2017
4178,Fall 2017
4182,Spring 2018
4185,Summer 2018
4188,Fall 2018
4192,Spring 2019
4195,Summer 2019
4198,Fall 2019
4202,Spring 2020
4205,Summer 2020
4208,Fall 2020
4212,Spring 2021
4215,Summer 2021
4218,Fall 2021
4222,Spring 2022
4225,Summer 2022
4228,Fall 2022
4232,Spring 2023
4235,Summer 2023
4238,Fall 2023
4242,Spring 2024
4245,Summer 2024
4248,Fall 2024
4252,Spring 2025
4255,Summer 2025
4258,Fall 2025
4262,Spring 2026
4265,Summer 2026
4268,Fall 2026
4272,Spring 2027
4275,Summer 2027
4278,Fall 2027
4282,Spring 2028
4285,Summer 2028
4288,Fall 2028
4292,Spring 2029
4295,Summer 2029
4298,Fall 2029
4302,Spring 2030
4305,Summer 2030
4308,Fall 2030
4312,Spring 2031
4315,Summer 2031
4318,Fall 2031
4322,Spring 2032
4325,Summer 2032
4328,Fall 2032
4332,Spring 2033
4335,Summer 2033
4338,Fall 2033
4342,Spring 2034
4345,Summer 2034
4348,Fall 2034
4352,Spring 2035
4355,Summer 2035
4358,Fall 2035
4362,Spring 2036
4365,Summer 2036
4368,Fall 2036
4372,Spring 2037
4375,Summer 2037
4378,Fall 2037
4382,Spring 2038
4385,Summer 2038
4388,Fall 2038
4392,Spring 2039
4395,Summer 2039
4398,Fall 2039
4402,Spring 2040
4405,Summer 2040
4408,Fall 2040